avg_rating,board_game_rank,game_sub_url,geek_rating,num_voters,title
"
			7.22		","<a name=""1904""></a>",/boardgame/184459/ave-roma,"
			6.114		","
			814		",Ave Roma
"
			7.28		","<a name=""1506""></a>",/boardgame/241266/little-town,"
			6.249		","
			1094		",Little Town
"
			8.29		","<a name=""10""></a>",/boardgame/193738/great-western-trail,"
			8.104		","
			25370		",Great Western Trail
"
			6.68		","<a name=""1406""></a>",/boardgame/12477/bootleggers,"
			6.286		","
			3116		",Bootleggers
"
			7.14		","<a name=""906""></a>",/boardgame/2507/liberte,"
			6.548		","
			2564		",Liberté
"
			6.84		","<a name=""1006""></a>",/boardgame/2338/starship-catan,"
			6.483		","
			4210		",Starship Catan
"
			6.56		","<a name=""1606""></a>",/boardgame/66171/dragonheart,"
			6.214		","
			3082		",Dragonheart
"
			7.53		","<a name=""1106""></a>",/boardgame/96007/new-era,"
			6.425		","
			1240		",The New Era
"
			6.82		","<a name=""1206""></a>",/boardgame/165950/beasty-bar,"
			6.375		","
			2981		",Beasty Bar
"
			7.81		","<a name=""209""></a>",/boardgame/234/hannibal-rome-vs-carthage,"
			7.233		","
			4700		",Hannibal: Rome vs. Carthage
"
			7.79		","<a name=""108""></a>",/boardgame/225694/decrypto,"
			7.448		","
			9133		",Decrypto
"
			6.84		","<a name=""709""></a>",/boardgame/27588/zooloretto,"
			6.687		","
			13517		",Zooloretto
"
			7.55		","<a name=""409""></a>",/boardgame/3685/hammer-scots,"
			6.960		","
			3745		",Hammer of the Scots
"
			7.22		","<a name=""609""></a>",/boardgame/103886/star-wars-card-game,"
			6.776		","
			5159		",Star Wars: The Card Game
"
			7.17		","<a name=""309""></a>",/boardgame/50/lost-cities,"
			7.074		","
			35024		",Lost Cities
"
			7.14		","<a name=""508""></a>",/boardgame/20963/fury-dracula-second-edition,"
			6.862		","
			8852		",Fury of Dracula (Second Edition)
"
			7.30		","<a name=""1307""></a>",/boardgame/142961/thunderstone-advance-numenera,"
			6.329		","
			1249		",Thunderstone Advance: Numenera
"
			6.59		","<a name=""2301""></a>",/boardgame/39242/black-friday,"
			6.006		","
			1296		",Black Friday
"
			7.61		","<a name=""2004""></a>",/boardgame/119637/zug-um-zug-deutschland,"
			6.080		","
			573		",Zug um Zug: Deutschland
"
			7.55		","<a name=""2202""></a>",/boardgame/216199/smash-big-japan,"
			6.029		","
			549		",Smash Up: Big in Japan
"
			6.88		","<a name=""1705""></a>",/boardgame/589/wiz-war,"
			6.178		","
			1597		",Wiz-War
"
			6.36		","<a name=""2103""></a>",/boardgame/714/talisman,"
			6.053		","
			4986		",Talisman
"
			6.72		","<a name=""808""></a>",/boardgame/8203/hey-s-my-fish,"
			6.616		","
			18662		","Hey, That's My Fish!"
"
			7.60		","<a name=""1905""></a>",/boardgame/197097/four-against-darkness,"
			6.113		","
			888		",Four Against Darkness
"
